臓器,分類,項目名,UID,H28対応項目,カテゴリ,単一疾患
血液・造血器・リンパ系,疾患・病態,出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病,JlAKpXE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",出血傾向,血友病
血液・造血器・リンパ系,疾患・病態,出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病,JlAKpXE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",出血傾向,播種性血管内凝固<DIC>
血液・造血器・リンパ系,疾患・病態,出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病,JlAKpXE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",出血傾向,溶血性尿毒症症候群<HUS>
血液・造血器・リンパ系,疾患・病態,出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病,JlAKpXE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",出血傾向,➅血栓性血小板減少性紫斑病<TTP>
血液・造血器・リンパ系,疾患・病態,出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病,JlAKpXE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",出血傾向,ビタミンK欠乏症
血液・造血器・リンパ系,疾患・病態,出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病,JlAKpXE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",出血傾向,von Willebrand病
血液・造血器・リンパ系,疾患・病態,血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS、DIC,JlAKpXI,,血栓傾向,プロテインC・プロテインS・アンチトロンビン欠乏症
血液・造血器・リンパ系,疾患・病態,血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS、DIC,JlAKpXI,,血栓傾向,抗リン脂質抗体症候群
血液・造血器・リンパ系,疾患・病態,血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS、DIC,JlAKpXI,,血栓傾向,TTP
血液・造血器・リンパ系,疾患・病態,血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS、DIC,JlAKpXI,,血栓傾向,HUS
血液・造血器・リンパ系,疾患・病態,血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS、DIC,JlAKpXI,,血栓傾向,DIC
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,急性骨髄性白血病
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,急性リンパ性白血病
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,慢性リンパ性白血病
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,リンパ増殖性疾患
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,成人T 細胞白血病
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,多発性骨髄腫
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,マクログロブリン血症
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載,JlAKpXM,"D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09",腫瘍性疾患,意義不明の単クローン性免疫グロブリン症〈MGUS〉 ※腫瘍の項目にも掲載
血液・造血器・リンパ系,疾患・病態,その他の重要な造血系疾患：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、移植片対宿主病<GVHD>,JlAKpXQ,,その他の重要な造血系疾患,無顆粒球症
血液・造血器・リンパ系,疾患・病態,その他の重要な造血系疾患：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、移植片対宿主病<GVHD>,JlAKpXQ,,その他の重要な造血系疾患,血球貪食症候群（血球貪食性リンパ組織球症）
血液・造血器・リンパ系,疾患・病態,その他の重要な造血系疾患：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、移植片対宿主病<GVHD>,JlAKpXQ,,その他の重要な造血系疾患,移植片対宿主病<GVHD>
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,脳出血
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,くも膜下出血
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,頭蓋内血腫
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,脳梗塞
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,一過性脳虚血発作
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,脳動脈瘤
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,脳動静脈奇形
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,JlAKpZs,D-02-04-01-01,脳血管障害,もやもや病
神経系,疾患・病態,感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、脳膿瘍、多発性硬化症,JlAKpZw,"D-02-04-03-01,D-02-04-03-02",感染性・炎症性疾患・脱髄性疾患,脳炎・髄膜炎
神経系,疾患・病態,感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、脳膿瘍、多発性硬化症,JlAKpZw,"D-02-04-03-01,D-02-04-03-02",感染性・炎症性疾患・脱髄性疾患,脳症
神経系,疾患・病態,感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、脳膿瘍、多発性硬化症,JlAKpZw,"D-02-04-03-01,D-02-04-03-02",感染性・炎症性疾患・脱髄性疾患,脳膿瘍
神経系,疾患・病態,感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、脳膿瘍、多発性硬化症,JlAKpZw,"D-02-04-03-01,D-02-04-03-02",感染性・炎症性疾患・脱髄性疾患,多発性硬化症
神経系,疾患・病態,認知症と変性疾患：認知症（Alzheimer型・Lewy小体型・脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症,JlAKpZ0,"D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05",認知症と変性疾患,認知症（Alzheimer型・Lewy小体型・脳血管性）
神経系,疾患・病態,認知症と変性疾患：認知症（Alzheimer型・Lewy小体型・脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症,JlAKpZ0,"D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05",認知症と変性疾患,Parkinson病
神経系,疾患・病態,認知症と変性疾患：認知症（Alzheimer型・Lewy小体型・脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症,JlAKpZ0,"D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05",認知症と変性疾患,筋萎縮性側索硬化症
神経系,疾患・病態,認知症と変性疾患：認知症（Alzheimer型・Lewy小体型・脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症,JlAKpZ0,"D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05",認知症と変性疾患,多系統萎縮症
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,ニューロパチー（栄養障害・中毒・遺伝性）
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,Guillain-Barré症候群
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,顔面神経麻痺（Bell麻痺を含む）
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,反回神経麻痺
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,主な神経痛（三叉・坐骨神経痛）
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,重症筋無力症
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,JlAKpZ4,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",末梢神経・神経 筋接合部・筋疾患,進行性筋ジストロフィー
