第2層,第3層,第4層,UID,H28対応項目,H28表記,"錦織返答(1.反映する,2.反映しない,その他)(20220320)",錦織コメント(20220320),医学教育課修正案(20220327),医学教育課からのコメント(20220327),チームからの修正提案(20220317),チームからのコメント(20220317),第4層(技術参与清書),第4層(20220302査読直前),修正提案(20220302),査読コメント(20220302),全体編集コメント,チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,第4層(計算列),メモ,Unnamed: 21,#VALUE!
基礎医学,生命現象の科学,ゲノム編集技術とその応用について理解している。,JkxnuIU,,,,,,,,,ゲノム編集技術（CRISPR-Cas 9）とその応用について説明できる。,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,ゲノム編集技術とその応用について理解している。,査読者Hの意見を反映,,2.0,,ゲノム編集技術とその応用について理解している。,新設,,
基礎医学,生命現象の科学,進化の基本的な考え方について理解している。,JkxnuIY,C-01-02-01-01,,,,,,,,進化の基本的な考え方を説明できる。,進化の基本的な考え方を説明できる。,進化の基本的な考え方について理解している。,,,2.0,,進化の基本的な考え方について理解している。,,,
基礎医学,生命現象の科学,生物種とその系統関係について理解している。,JkxnuIc,C-01-02-01-02,,,,,,,,生物種とその系統関係を概説できる。,生物種とその系統関係を概説できる。,生物種とその系統関係について理解している。,,,2.0,,生物種とその系統関係について理解している。,,,
基礎医学,生命現象の科学,アミノ酸配列や塩基配列の比較による分子系統樹について理解している。,JkxnuIg,C-01-02-01-03,,,,,,,,アミノ酸配列や塩基配列の比較による分子系統樹を説明できる。,アミノ酸配列や塩基配列の比較による分子系統樹を説明できる。,アミノ酸配列や塩基配列の比較による分子系統樹について理解している。,,,2.0,,アミノ酸配列や塩基配列の比較による分子系統樹について理解している。,修正済み・ワードファイルでは「説明できる」になっています。(KY),,
基礎医学,個体の構成と機能,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構について理解している。,JkxnuIk,C-02-01-01-01,,,,,,,,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構を説明できる。,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構を説明できる。,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構について理解している。,,,2.0,,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構について理解している。,,,
基礎医学,個体の構成と機能,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程について理解している。,JkxnuIo,"C-02-01-01-02,C-02-01-01-03,C-02-01-01-04",,,,細胞膜のイオンチャネル、ポンプ及び膜を介する物質の能動・受動輸送過程について理解している。,「、」を削除しました。「および」→「及び」に修正しました。,,,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程を説明できる。,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程を説明できる。,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程について理解している。,,,2.0,,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程について理解している。,修正済み・ワードファイルでは「説明できる」になっています。(KY),,
基礎医学,個体の構成と機能,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性について理解している。,JkxnuIs,"C-02-03-02-01,C-02-03-02-02",,,,,,,,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性について理解している。,,,2.0,,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性について理解している。,,,
基礎医学,個体の構成と機能,情報伝達の種類と機能について理解している。,JkxnuIw,C-02-03-01-01,,,,,,,,情報伝達の種類と機能を説明できる。,情報伝達の種類と機能を説明できる。,情報伝達の種類と機能について理解している。,,,2.0,,情報伝達の種類と機能について理解している。,,,
基礎医学,個体の構成と機能,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程について理解している。,JkxnuI0,"C-02-03-01-02,C-02-03-01-03",,,,,,,,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程を説明できる。,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程を説明できる。,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程について理解している。,,,2.0,,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程について理解している。,,,
基礎医学,個体の構成と機能,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）について理解している。,JkxnuI4,,,,,,,,,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）について理解している。,,,2.0,,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）について理解している。,新設,,
基礎医学,個体の構成と機能,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動について理解している。,JkxnuI8,"C-02-01-02-01,C-02-01-02-02",,,,,,,,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動について理解している。,,,2.0,,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動について理解している。,,,
基礎医学,個体の構成と機能,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能について理解している。,JkxnuJA,"C-02-01-02-03, C-02-01-02-04, C-02-01-02-05",,,,,,,,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能を説明できる。,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能を説明できる。,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能について理解している。,,,2.0,,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能について理解している。,新設でない,,
基礎医学,個体の構成と機能,軸索輸送、軸索の変性と再生について理解している。,JkxnuJE,C-02-03-02-03,,,,,,,,軸索輸送、軸索の変性と再生を説明できる。,軸索輸送、軸索の変性と再生を説明できる。,軸索輸送、軸索の変性と再生について理解している。,,,2.0,,軸索輸送、軸索の変性と再生について理解している。,,,
基礎医学,個体の構成と機能,上皮組織と腺の構造と機能について理解している。,JkxnuJI,C-02-02-01-01,,,,,,,,上皮組織と腺の構造と機能を説明できる。,上皮組織と腺の構造と機能を説明できる。,上皮組織と腺の構造と機能について理解している。,,,2.0,,上皮組織と腺の構造と機能について理解している。,,,
基礎医学,個体の構成と機能,支持組織を構成する細胞と細胞間質（線維成分と基質）について理解している。,JkxnuJM,C-02-02-01-02,,,,,,,,支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。,支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。,支持組織を構成する細胞と細胞間質（線維成分と基質）について理解している。,,,2.0,,支持組織を構成する細胞と細胞間質（線維成分と基質）について理解している。,,,
基礎医学,個体の構成と機能,血管とリンパ管の微細構造と機能について理解している。,JkxnuJQ,C-02-02-01-03,,,,,,,,血管とリンパ管の微細構造と機能を説明できる。,血管とリンパ管の微細構造と機能を説明できる。,血管とリンパ管の微細構造と機能について理解している。,,,2.0,,血管とリンパ管の微細構造と機能について理解している。,,,
基礎医学,個体の構成と機能,神経組織の微細構造について理解している。,JkxnuJU,C-02-02-01-04,,,,,,,,神経組織の微細構造を説明できる。,神経組織の微細構造を説明できる。,神経組織の微細構造について理解している。,,,2.0,,神経組織の微細構造について理解している。,,,
基礎医学,個体の構成と機能,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して理解している。,JkxnuJY,C-02-02-01-05,,,,,,,,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して理解している。,,,2.0,,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して理解している。,,,
基礎医学,個体の構成と機能,組織の再生の機序について理解している。,JkxnuJc,C-02-02-01-06,,,,,,,,組織の再生の機序を説明できる。,組織の再生の機序を説明できる。,組織の再生の機序について理解している。,,,2.0,,組織の再生の機序について理解している。,,,
基礎医学,個体の構成と機能,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で理解している。,JkxnuJg,C-02-02-02-01,,,,位置関係を方向用語（上・下、前・後、内側・外側、浅・深、頭側・尾側、背側・腹側、近位・遠位、内転・外転）で理解している。,「・」でのつなぎ方を統一しましたがいかがでしょうか。,,,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる。,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる。,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で理解している。,,,2.0,,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で理解している。,編集あり,,
基礎医学,個体の構成と機能,刺激に対する感覚受容の種類と機序について理解している。,JkxnuJk,C-02-03-02-04,,,,,,,,刺激に対する感覚受容の種類と機序を説明できる。,刺激に対する感覚受容の種類と機序を説明できる。,刺激に対する感覚受容の種類と機序について理解している。,,,2.0,,刺激に対する感覚受容の種類と機序について理解している。,「個体の」と謳っているが、細胞の話からスタートして違和感があるので、冒頭の項目をC-2-1）に移動しました。(大場),,
基礎医学,個体の構成と機能,反射について理解している。,JkxnuJo,C-02-03-02-05,,,,,,,,反射を説明できる。,反射を説明できる。,反射について理解している。,,,2.0,,反射について理解している。,,,
基礎医学,個体の構成と機能,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）について理解している。,JkxnuJs,"C-02-03-04-01,C-02-03-04-02",,,,,,,,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）を説明できる。,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）を説明できる。,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）について理解している。,,,2.0,,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）について理解している。,,,
基礎医学,個体の構成と機能,生体機能や体内環境のリズム性変化について理解している。,JkxnuJw,C-02-03-04-03,,,,,,,,生体機能や体内環境のリズム性変化を説明できる。,生体機能や体内環境のリズム性変化を説明できる。,生体機能や体内環境のリズム性変化について理解している。,,,2.0,,生体機能や体内環境のリズム性変化について理解している。,,,
基礎医学,個体の構成と機能,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性について理解している。,JkxnuJ0,C-02-03-04-04,,,,,,,,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性について理解している。,,,2.0,,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性について理解している。,,,
基礎医学,個体の構成と機能,,JkxnuJ4,C-02-03-04-05,,,,,R4コアカリ に、H28コアカリC-02-03-04-05「運動生理学など、身体活動時の神経・骨格筋、循環器、代謝系の変化を説明できる。」での対応箇所が確認できませんでした。,,,,削除：運動生理学など、身体活動時の神経・骨格筋、循環器、呼吸器、代謝系の変化を説明できる。,,,,2.0,,,これらは生理学等でも学修します。しかし特に運動整理学は、Dで各系の機能を理解して初めて理解できる『全身に及ぶ生理的変化』すなわちEに適した項目と考えます。(大場),,
基礎医学,個体の構成と機能,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程について理解している。,JkxnuJ8,"C-02-04-na-01,C-02-04-na-07",,,,,,,,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程について理解している。,,,2.0,,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程について理解している。,,,
基礎医学,個体の構成と機能,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程について理解している。,JkxnuKA,"C-02-04-na-02,C-02-04-na-08",,,,体節の形成と分化、鰓弓・鰓嚢の分化、頭・頸部と顔面・口腔の形成過程について理解している。,「と」→「、」に修正しました。,,,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程について理解している。,,,2.0,,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程について理解している。,,,
基礎医学,個体の構成と機能,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程について理解している。,JkxnuKE,"C-02-04-na-03,C-02-04-na-05,C-02-04-na-06",,,,,,,,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程について理解している。,,,2.0,,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程について理解している。,,,
基礎医学,個体の構成と機能,消化・呼吸器系各器官の形成過程について理解している。,JkxnuKI,C-02-04-na-04,,,,,,,,消化・呼吸器系各器官の形成過程を説明できる。,消化・呼吸器系各器官の形成過程を説明できる。,消化・呼吸器系各器官の形成過程について理解している。,,,2.0,,消化・呼吸器系各器官の形成過程について理解している。,修正済み・ワードファイルでは「説明できる」になっています。（KY）,,
基礎医学,個体の構成と機能,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程について理解している。,JkxnuKM,C-02-04-na-09,,,,,,,,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を説明できる。,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を説明できる。,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程について理解している。,,,2.0,,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程について理解している。,追記(MY)、修正済み・ワードファイルでは「説明できる」になっています。（KY）,,
基礎医学,個体の構成と機能,酵素の機能と調節について理解している。,JkxnuKQ,,,,,,,,,酵素の機能と調節を説明できる。,酵素の機能と調節を説明できる。,酵素の機能と調節について理解している。,,,2.0,,酵素の機能と調節について理解している。,新設,,
基礎医学,個体の構成と機能,糖質の構造、代謝と調節（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）、生理的意義について理解している。,JkxnuKU,"C-02-05-na-01,C-02-05-na-02,C-02-05-na-03,C-02-05-na-04,C-02-05-na-05,C-02-05-na-06,C-02-05-na-07",,,,,,,,糖質の構造、代謝と調節（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）、生理的意義を説明できる。,糖質の構造、代謝と調節、生理的意義を説明できる。（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）,糖質の構造、代謝と調節（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）、生理的意義について理解している。,,,2.0,,糖質の構造、代謝と調節（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）、生理的意義について理解している。,,,
基礎医学,個体の構成と機能,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路について理解している。,JkxnuKY,"C-02-05-na-10,C-02-05-na-11",,,,タンパク質の構造、代謝と調節、生理的意義、主要なアミノ酸の代謝、尿素回路を理解している。,"以下ルールに則り、修正しました。
 ・3者以上の並列の場合「と」よりは「、」を使用する",,,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路を説明できる。,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路を説明できる。,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路について理解している。,,,2.0,,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路について理解している。,,,
基礎医学,個体の構成と機能,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送（リポタンパク質）について理解している。,JkxnuKc,"C-02-05-na-08,C-02-05-na-09",,,,脂質の構造、代謝と調節、生理的意義、脂質の輸送（リポタンパク質）を理解している。,"以下ルールに則り、修正しました。
 ・3者以上の並列の場合「と」よりは「、」を使用する",,,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送（リポタンパク質）を説明できる。,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送を説明できる（リポタンパク質）。,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送（リポタンパク質）について理解している。,,,2.0,,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送（リポタンパク質）について理解している。,,,
基礎医学,個体の構成と機能,ヘム・ポルフィリンの代謝について理解している。,JkxnuKg,C-02-05-na-12,,,,,,,,ヘム・ポルフィリンの代謝を説明できる。,ヘム・ポルフィリンの代謝を説明できる。,ヘム・ポルフィリンの代謝について理解している。,,,2.0,,ヘム・ポルフィリンの代謝について理解している。,,,
基礎医学,個体の構成と機能,ヌクレオチドの合成・異化・再利用経路について理解している。,JkxnuKk,C-02-05-na-13,,,,,,,,ヌクレオチドの合成・異化・再利用経路を説明できる。,ヌクレオチドの合成・異化・再利用経路を説明できる。,ヌクレオチドの合成・異化・再利用経路について理解している。,,,2.0,,ヌクレオチドの合成・異化・再利用経路について理解している。,,,
基礎医学,個体の構成と機能,酸化ストレス（フリーラジカル、活性酸素）について理解している。,JkxnuKo,C-02-05-na-14,,,,,,,,酸化ストレス（フリーラジカル、活性酸素）を説明できる。,酸化ストレス（フリーラジカル、活性酸素）を説明できる。,酸化ストレス（フリーラジカル、活性酸素）について理解している。,,,2.0,,酸化ストレス（フリーラジカル、活性酸素）について理解している。,編集あり,,
基礎医学,個体の構成と機能,ビタミン、微量元素の種類と作用について理解している。,JkxnuKs,C-02-05-na-15,,,,,,,,ビタミン、微量元素の種類と作用を説明できる。,ビタミン、微量元素の種類と作用を説明できる。,ビタミン、微量元素の種類と作用について理解している。,,,2.0,,ビタミン、微量元素の種類と作用について理解している。,,,
基礎医学,個体の構成と機能,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）について理解している。,JkxnuKw,C-02-05-na-16,,,,,,,,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）を説明できる。,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）を説明できる。,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）について理解している。,,,2.0,,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）について理解している。,編集あり,,
基礎医学,個体の構成と機能,空腹（飢餓）時、食後（過食時）と運動時における代謝について理解している。,JkxnuK0,,,,,空腹時、飢餓時、食後、過食時と運動時における代謝について理解している。,わかりやすくするため修正しました。,,,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。,空腹（飢餓）時、食後（過食時）と運動時における代謝について理解している。,,,2.0,,空腹（飢餓）時、食後（過食時）と運動時における代謝について理解している。,新設,,
基礎医学,個体の構成と機能,複合糖質、複合脂質について理解している。,JkxnuK4,,,,,,,,,複合糖質、複合脂質について説明できる。,複合糖質、複合脂質について説明できる。,複合糖質、複合脂質について理解している。,,,2.0,,複合糖質、複合脂質について理解している。,新設,,
基礎医学,個体の反応,原核生物としての細菌の構造と機能の違いについて真核生物と比較して理解している。,JkxnuK8,,,,,,,,,原核生物としての細菌の構造と機能の違いについて真核生物と比較して説明できる。,原核生物としての細菌の構造と機能の違いについて真核生物と比較して説明できる。,原核生物としての細菌の構造と機能の違いについて真核生物と比較して理解している。,,,2.0,,原核生物としての細菌の構造と機能の違いについて真核生物と比較して理解している。,新設,,
基礎医学,個体の反応,細菌の感染経路を分類し、細菌が疾病を引き起こす機序について理解している。,JkxnuLA,"C-03-01-04-02,C-03-01-04-03",,,,,,,,細菌の感染経路を分類し、細菌が疾病を引き起こす機序を説明できる。,細菌の感染経路を分類し、細菌が疾病を引き起こす機序を説明できる。,細菌の感染経路を分類し、細菌が疾病を引き起こす機序について理解している。,,,2.0,,細菌の感染経路を分類し、細菌が疾病を引き起こす機序について理解している。,,,
基礎医学,個体の反応,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序について理解している。,JkxnuLE,,,,,,,,,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序を説明できる。,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序を説明できる。,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序について理解している。,,,2.0,,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序について理解している。,新設,,
